areaCode,areaName,areaType,date,newAdmissions
E40000003,London,nhsRegion,2021-05-20,24
E40000003,London,nhsRegion,2021-05-19,14
E40000003,London,nhsRegion,2021-05-18,19
E40000003,London,nhsRegion,2021-05-17,19
E40000003,London,nhsRegion,2021-05-16,11
E40000003,London,nhsRegion,2021-05-15,11
E40000003,London,nhsRegion,2021-05-14,12
E40000003,London,nhsRegion,2021-05-13,15
E40000003,London,nhsRegion,2021-05-12,12
E40000003,London,nhsRegion,2021-05-11,17
E40000003,London,nhsRegion,2021-05-10,17
E40000003,London,nhsRegion,2021-05-09,16
E40000003,London,nhsRegion,2021-05-08,10
E40000003,London,nhsRegion,2021-05-07,15
E40000003,London,nhsRegion,2021-05-06,13
E40000003,London,nhsRegion,2021-05-05,17
E40000003,London,nhsRegion,2021-05-04,6
E40000003,London,nhsRegion,2021-05-03,11
E40000003,London,nhsRegion,2021-05-02,11
E40000003,London,nhsRegion,2021-05-01,12
E40000003,London,nhsRegion,2021-04-30,11
E40000003,London,nhsRegion,2021-04-29,15
E40000003,London,nhsRegion,2021-04-28,14
E40000003,London,nhsRegion,2021-04-27,21
E40000003,London,nhsRegion,2021-04-26,13
E40000003,London,nhsRegion,2021-04-25,17
E40000003,London,nhsRegion,2021-04-24,15
E40000003,London,nhsRegion,2021-04-23,22
E40000003,London,nhsRegion,2021-04-22,14
E40000003,London,nhsRegion,2021-04-21,18
E40000003,London,nhsRegion,2021-04-20,15
E40000003,London,nhsRegion,2021-04-19,18
E40000003,London,nhsRegion,2021-04-18,17
E40000003,London,nhsRegion,2021-04-17,9
E40000003,London,nhsRegion,2021-04-16,14
E40000003,London,nhsRegion,2021-04-15,14
E40000003,London,nhsRegion,2021-04-14,21
E40000003,London,nhsRegion,2021-04-13,20
E40000003,London,nhsRegion,2021-04-12,26
E40000003,London,nhsRegion,2021-04-11,28
E40000003,London,nhsRegion,2021-04-10,25
E40000003,London,nhsRegion,2021-04-09,21
E40000003,London,nhsRegion,2021-04-08,27
E40000003,London,nhsRegion,2021-04-07,26
E40000003,London,nhsRegion,2021-04-06,22
E40000003,London,nhsRegion,2021-04-05,23
E40000003,London,nhsRegion,2021-04-04,23
E40000003,London,nhsRegion,2021-04-03,25
E40000003,London,nhsRegion,2021-04-02,27
E40000003,London,nhsRegion,2021-04-01,25
E40000003,London,nhsRegion,2021-03-31,30
E40000003,London,nhsRegion,2021-03-30,29
E40000003,London,nhsRegion,2021-03-29,23
E40000003,London,nhsRegion,2021-03-28,32
E40000003,London,nhsRegion,2021-03-27,29
E40000003,London,nhsRegion,2021-03-26,26
E40000003,London,nhsRegion,2021-03-25,33
E40000003,London,nhsRegion,2021-03-24,27
E40000003,London,nhsRegion,2021-03-23,33
E40000003,London,nhsRegion,2021-03-22,31
E40000003,London,nhsRegion,2021-03-21,28
E40000003,London,nhsRegion,2021-03-20,31
E40000003,London,nhsRegion,2021-03-19,42
E40000003,London,nhsRegion,2021-03-18,33
E40000003,London,nhsRegion,2021-03-17,27
E40000003,London,nhsRegion,2021-03-16,45
E40000003,London,nhsRegion,2021-03-15,40
E40000003,London,nhsRegion,2021-03-14,41
E40000003,London,nhsRegion,2021-03-13,48
E40000003,London,nhsRegion,2021-03-12,39
E40000003,London,nhsRegion,2021-03-11,47
E40000003,London,nhsRegion,2021-03-10,52
E40000003,London,nhsRegion,2021-03-09,67
E40000003,London,nhsRegion,2021-03-08,56
E40000003,London,nhsRegion,2021-03-07,58
E40000003,London,nhsRegion,2021-03-06,49
E40000003,London,nhsRegion,2021-03-05,62
E40000003,London,nhsRegion,2021-03-04,88
E40000003,London,nhsRegion,2021-03-03,67
E40000003,London,nhsRegion,2021-03-02,95
E40000003,London,nhsRegion,2021-03-01,89
E40000003,London,nhsRegion,2021-02-28,97
E40000003,London,nhsRegion,2021-02-27,64
E40000003,London,nhsRegion,2021-02-26,72
E40000003,London,nhsRegion,2021-02-25,110
E40000003,London,nhsRegion,2021-02-24,105
E40000003,London,nhsRegion,2021-02-23,103
E40000003,London,nhsRegion,2021-02-22,129
E40000003,London,nhsRegion,2021-02-21,127
E40000003,London,nhsRegion,2021-02-20,110
E40000003,London,nhsRegion,2021-02-19,150
E40000003,London,nhsRegion,2021-02-18,142
E40000003,London,nhsRegion,2021-02-17,150
E40000003,London,nhsRegion,2021-02-16,166
E40000003,London,nhsRegion,2021-02-15,179
E40000003,London,nhsRegion,2021-02-14,196
E40000003,London,nhsRegion,2021-02-13,175
E40000003,London,nhsRegion,2021-02-12,190
E40000003,London,nhsRegion,2021-02-11,217
E40000003,London,nhsRegion,2021-02-10,243
E40000003,London,nhsRegion,2021-02-09,232
E40000003,London,nhsRegion,2021-02-08,287
E40000003,London,nhsRegion,2021-02-07,302
E40000003,London,nhsRegion,2021-02-06,236
E40000003,London,nhsRegion,2021-02-05,292
E40000003,London,nhsRegion,2021-02-04,329
E40000003,London,nhsRegion,2021-02-03,349
E40000003,London,nhsRegion,2021-02-02,357
E40000003,London,nhsRegion,2021-02-01,421
E40000003,London,nhsRegion,2021-01-31,394
E40000003,London,nhsRegion,2021-01-30,370
E40000003,London,nhsRegion,2021-01-29,423
E40000003,London,nhsRegion,2021-01-28,473
E40000003,London,nhsRegion,2021-01-27,485
E40000003,London,nhsRegion,2021-01-26,472
E40000003,London,nhsRegion,2021-01-25,478
E40000003,London,nhsRegion,2021-01-24,544
E40000003,London,nhsRegion,2021-01-23,520
E40000003,London,nhsRegion,2021-01-22,580
E40000003,London,nhsRegion,2021-01-21,598
E40000003,London,nhsRegion,2021-01-20,660
E40000003,London,nhsRegion,2021-01-19,742
E40000003,London,nhsRegion,2021-01-18,704
E40000003,London,nhsRegion,2021-01-17,652
E40000003,London,nhsRegion,2021-01-16,758
E40000003,London,nhsRegion,2021-01-15,670
E40000003,London,nhsRegion,2021-01-14,763
E40000003,London,nhsRegion,2021-01-13,804
E40000003,London,nhsRegion,2021-01-12,875
E40000003,London,nhsRegion,2021-01-11,795
E40000003,London,nhsRegion,2021-01-10,734
E40000003,London,nhsRegion,2021-01-09,832
E40000003,London,nhsRegion,2021-01-08,813
E40000003,London,nhsRegion,2021-01-07,820
E40000003,London,nhsRegion,2021-01-06,977
E40000003,London,nhsRegion,2021-01-05,913
E40000003,London,nhsRegion,2021-01-04,830
E40000003,London,nhsRegion,2021-01-03,865
E40000003,London,nhsRegion,2021-01-02,828
E40000003,London,nhsRegion,2021-01-01,796
E40000003,London,nhsRegion,2020-12-31,708
E40000003,London,nhsRegion,2020-12-30,681
E40000003,London,nhsRegion,2020-12-29,679
E40000003,London,nhsRegion,2020-12-28,739
E40000003,London,nhsRegion,2020-12-27,629
E40000003,London,nhsRegion,2020-12-26,607
E40000003,London,nhsRegion,2020-12-25,578
E40000003,London,nhsRegion,2020-12-24,492
E40000003,London,nhsRegion,2020-12-23,511
E40000003,London,nhsRegion,2020-12-22,508
E40000003,London,nhsRegion,2020-12-21,505
E40000003,London,nhsRegion,2020-12-20,413
E40000003,London,nhsRegion,2020-12-19,404
E40000003,London,nhsRegion,2020-12-18,357
E40000003,London,nhsRegion,2020-12-17,366
E40000003,London,nhsRegion,2020-12-16,252
E40000003,London,nhsRegion,2020-12-15,332
E40000003,London,nhsRegion,2020-12-14,292
E40000003,London,nhsRegion,2020-12-13,287
E40000003,London,nhsRegion,2020-12-12,246
E40000003,London,nhsRegion,2020-12-11,277
E40000003,London,nhsRegion,2020-12-10,235
E40000003,London,nhsRegion,2020-12-09,248
E40000003,London,nhsRegion,2020-12-08,203
E40000003,London,nhsRegion,2020-12-07,210
E40000003,London,nhsRegion,2020-12-06,179
E40000003,London,nhsRegion,2020-12-05,141
E40000003,London,nhsRegion,2020-12-04,170
E40000003,London,nhsRegion,2020-12-03,156
E40000003,London,nhsRegion,2020-12-02,162
E40000003,London,nhsRegion,2020-12-01,160
E40000003,London,nhsRegion,2020-11-30,146
E40000003,London,nhsRegion,2020-11-29,154
E40000003,London,nhsRegion,2020-11-28,107
E40000003,London,nhsRegion,2020-11-27,124
E40000003,London,nhsRegion,2020-11-26,155
E40000003,London,nhsRegion,2020-11-25,200
E40000003,London,nhsRegion,2020-11-24,131
E40000003,London,nhsRegion,2020-11-23,147
E40000003,London,nhsRegion,2020-11-22,145
E40000003,London,nhsRegion,2020-11-21,165
E40000003,London,nhsRegion,2020-11-20,116
E40000003,London,nhsRegion,2020-11-19,173
E40000003,London,nhsRegion,2020-11-18,179
E40000003,London,nhsRegion,2020-11-17,152
E40000003,London,nhsRegion,2020-11-16,154
E40000003,London,nhsRegion,2020-11-15,170
E40000003,London,nhsRegion,2020-11-14,139
E40000003,London,nhsRegion,2020-11-13,136
E40000003,London,nhsRegion,2020-11-12,152
E40000003,London,nhsRegion,2020-11-11,134
E40000003,London,nhsRegion,2020-11-10,147
E40000003,London,nhsRegion,2020-11-09,136
E40000003,London,nhsRegion,2020-11-08,150
E40000003,London,nhsRegion,2020-11-07,109
E40000003,London,nhsRegion,2020-11-06,101
E40000003,London,nhsRegion,2020-11-05,118
E40000003,London,nhsRegion,2020-11-04,123
E40000003,London,nhsRegion,2020-11-03,103
E40000003,London,nhsRegion,2020-11-02,136
E40000003,London,nhsRegion,2020-11-01,134
E40000003,London,nhsRegion,2020-10-31,132
