country,year,HFI,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
Pakistan,2010,,5.786132813,8.362550735,0.571315944,56.12927246,0.364205927,0.286344051,0.8516559,0.650707901,0.371941417,0.30821377,-1.737298131,-0.797191441,2.353924513,0.406821728,0.298,0.312571429,0.410454541
Pakistan,2012,,5.131565094,8.38193512,0.542038023,56.60122681,0.366844118,0.150681734,0.842024505,0.664618492,0.332447737,0.228680417,-1.760292888,-0.860548019,2.179158688,0.424657702,,0.312571429,0.429429471
Pakistan,2014,,5.435657978,8.428629875,0.551683307,56.99007797,0.543138504,0.126020953,0.676927507,0.584937394,0.295479774,0.425877184,-1.558651567,-0.758009017,2.169975519,0.399211198,,0.312571429,0.434137315
Pakistan,2016,,5.548508167,8.487689018,0.626921296,57.30535889,0.634182811,0.079944424,0.79253006,0.647639751,0.33161667,0.455683172,-1.57769084,-0.740906477,1.956958294,0.352699906,,0.312571429,0.323328614
Palestinian Territories,2008,,4.385603428,8.178587914,0.665910721,62.01499939,0.357756525,-0.069348037,0.753213048,0.571269214,0.403282553,,,,2.525938034,0.575961351,,,
Palestinian Territories,2010,,4.702603817,8.333919525,0.82174629,62.25,0.504262269,-0.12102773,0.752414644,0.627587855,0.381490052,0.50920409,,,2.146264076,0.456399083,,,0.419720232
Palestinian Territories,2012,,4.646608353,8.485044479,0.782169104,62.48500061,0.541582882,-0.158223853,0.730194092,0.616355181,0.378503829,0.466042757,,,2.207691669,0.475118935,,,0.397496074
Palestinian Territories,2014,,4.721938133,8.370901108,0.775086701,62.72000122,0.657049835,-0.147949129,0.804165423,0.56505692,0.380452424,0.474314302,,,2.402968645,0.508894563,,,0.428933442
Palestinian Territories,2016,,4.906618118,8.46180439,0.817770958,62.95499802,0.607669413,-0.13439247,0.812464654,0.592769146,0.377641797,0.463771552,,,2.375508785,0.484143823,,,0.420557737
Panama,2008,,6.930903435,9.606917381,0.922481298,66.55373383,0.707384586,0.068079896,0.88065052,0.81930089,0.150143132,0.310028732,0.251812726,0.120614246,2.078246355,0.299852163,0.526,0.53675,
Panama,2010,,7.3214674,9.643378258,0.92753309,66.87400055,0.754523695,-0.000571453,0.87982583,0.887584686,0.146368757,0.536404312,0.210575163,0.030859461,1.995635629,0.272573173,0.519,0.53675,0.429136604
Panama,2012,,6.859835625,9.808291435,0.89739114,67.20800781,0.783182502,0.005216825,0.795796633,0.868587494,0.206641346,0.361556232,0.144992128,0.028142724,2.303227901,0.335755557,0.519,0.53675,0.394367218
Panama,2014,,6.631171227,9.897058487,0.87347424,67.54421234,0.893915117,0.008149669,0.846593857,0.807689786,0.253815651,0.4400675,0.357318044,0.05853897,2.539329767,0.382938355,0.507,0.53675,0.560310006
Panama,2016,,6.117638111,9.968101501,0.882460237,67.87834167,0.884479761,-0.096953698,0.836976767,0.857623577,0.244131789,0.329894483,0.481653512,0.021204807,2.645735741,0.43247667,,0.53675,0.534175694
Paraguay,2008,,5.570061684,8.838175774,0.889281452,62.31054306,0.649068773,0.070256419,0.891085148,0.848840058,0.259037822,0.23880963,-0.420215845,-0.826979458,2.183433771,0.391994536,0.51,0.519066667,
Paraguay,2010,,5.841174126,8.894191742,0.889152765,62.65847778,0.726262391,0.091050856,0.779914618,0.855230331,0.175859466,0.479620606,-0.456897646,-0.720114648,1.958678484,0.335322738,0.518,0.519066667,0.549546838
Paraguay,2012,,5.820058346,8.897328377,0.931004941,62.96724319,0.748206615,0.214730084,0.77365911,0.83717531,0.212838635,0.296063691,-0.492819518,-0.728666604,1.709317088,0.293694139,0.482,0.519066667,0.505039632
Paraguay,2014,,5.118641853,9.048003197,0.959249556,63.20809174,0.759396434,0.009019198,0.762375772,0.943620622,0.215778142,0.193541795,-0.095734917,-0.711251497,1.927593708,0.37658304,0.517,0.519066667,0.421719491
Paraguay,2016,,5.801380157,9.090585709,0.93986696,63.39973068,0.853534281,-0.06036834,0.756116271,0.924560964,0.197176188,0.284559757,0.080769531,-0.621826768,1.960702538,0.337971747,,0.519066667,0.476457238
Peru,2008,,5.129230976,9.140277863,0.777106822,63.72270966,0.637672365,-0.079131119,0.89643985,0.762631297,0.353949875,0.173054844,-0.369285375,-0.225607947,2.399231434,0.467756569,0.485,0.4891875,
Peru,2010,,5.612785339,9.205986977,0.811914384,64.08625793,0.756706417,-0.072250187,0.880594134,0.7995345,0.330243468,0.192308694,-0.444388956,-0.133142605,2.120662689,0.377827138,0.462,0.4891875,0.426946193
Peru,2012,,5.824557304,9.300539017,0.764071584,64.43893433,0.703000546,-0.091062851,0.866837919,0.757178366,0.397958517,0.272202104,-0.396550894,-0.14944391,2.097959995,0.36019218,0.451,0.4891875,0.520767868
Peru,2014,,5.865815639,9.3540411,0.818986952,64.81194305,0.722352386,-0.147824064,0.877822161,0.758987725,0.319337994,0.240083769,-0.179069921,-0.206812978,2.051748276,0.34978056,0.441,0.4891875,0.387330234
Peru,2016,,5.700628757,9.398610115,0.802856445,65.2088089,0.829843879,-0.145887688,0.86591959,0.821674764,0.338006854,0.281923383,0.06017337,-0.127632126,2.373939276,0.416434646,,0.4891875,0.480143815
Philippines,2008,,4.589065075,8.577241898,0.798442245,59.24521637,0.860842586,0.078044087,0.816584587,0.805394351,0.384014696,0.566654027,-0.95853287,-0.341033429,2.284062624,0.497718513,,0.418833333,
Philippines,2010,,4.941514015,8.629957199,0.804861128,59.44197083,0.893350542,0.027964491,0.812448382,0.875528872,0.293918312,0.554057181,-0.844931066,-0.386261672,2.106217146,0.426229119,,0.418833333,0.608070076
Philippines,2012,,5.001965046,8.697647095,0.812921703,59.65584183,0.914499581,0.047324717,0.771167636,0.86513114,0.35112527,0.758208573,-0.60896349,-0.259734333,2.471630812,0.494131953,0.422,0.418833333,0.522216678
Philippines,2014,,5.312550068,8.792685509,0.813300192,59.88710403,0.902185738,-0.021333195,0.787219465,0.813341916,0.334036529,0.687083423,-0.27727744,-0.149540201,2.692250013,0.506771684,,0.418833333,0.479781032
Philippines,2016,,5.430832863,8.886888504,0.821298718,60.13003159,0.907595754,-0.077418268,0.791962206,0.820969462,0.290232718,0.771626711,-0.579913437,-0.235285416,2.470617771,0.454924285,,0.418833333,0.533455908
Poland,2010,,5.887029648,9.98831749,0.95506531,66.34422302,0.794900477,-0.008813069,0.904697299,0.736897647,0.234237015,0.333801061,1.02746582,0.700623572,1.935959458,0.32885167,0.332,0.334733333,0.392158389
Poland,2012,,5.87593174,10.05268764,0.935923874,66.77928162,0.811301708,-0.037411589,0.887895823,0.787489176,0.266746789,0.268628746,1.056877255,0.769939899,1.88393259,0.32061854,0.324,0.334733333,0.347640306
Poland,2014,,5.750282288,10.10016727,0.923642278,67.52420044,0.875357091,-0.07535246,0.897741735,0.776996672,0.222643748,0.252522856,0.97402674,0.839508891,2.052378654,0.356917888,0.321,0.334733333,0.378063649
Poland,2016,,6.162076473,10.16781044,0.91739881,68.57260132,0.870707512,-0.102382511,0.847753942,0.77662462,0.223536044,0.382713199,0.67418617,0.767235398,1.84584868,0.299549788,,0.334733333,0.312157542
Portugal,2008,,5.716966629,10.22522259,0.885925412,68.83002472,0.646464109,-0.224927396,0.932685852,0.70293057,0.309280723,0.339916795,1.095158935,1.069116354,2.04709053,0.358072847,0.366,0.367,
Portugal,2010,,5.094525814,10.21238518,0.863906741,69.27043152,0.721036375,-0.113575339,0.947879434,0.741612136,0.265107363,0.263269573,0.912445009,0.969256222,2.068517208,0.406027436,0.358,0.367,0.438607901
Portugal,2012,,4.993962288,10.15835667,0.86603862,70.45056152,0.773821414,-0.104271121,0.959288418,0.728934467,0.370169967,0.230625153,0.90190047,0.971928477,2.494402647,0.499483675,0.36,0.367,0.425317734
Portugal,2014,,5.12691164,10.16676331,0.86182946,71.10689545,0.846810102,-0.133559808,0.94107008,0.705072284,0.357692271,0.227394462,0.956860006,0.955930233,2.364469528,0.461187869,0.356,0.367,0.44026351
Portugal,2016,,5.446637154,10.20746899,0.90463537,71.80812836,0.83806932,-0.23237966,0.922192395,0.683566213,0.326252729,0.354542404,1.095024586,1.038751483,2.132012844,0.391436547,,0.367,0.45052737
Qatar,2010,,6.849652767,11.73719501,,66.82978821,,0.060169544,,,,,0.070845008,0.925529718,2.023531675,0.295421064,,,0.454522252
Qatar,2012,,6.611298561,11.73848248,0.838131666,67.11545563,0.924333632,0.11814566,,0.765898824,0.322181433,,0.150912732,0.939336121,2.173816442,0.328803241,,,0.556412458
Romania,2010,,4.909165859,9.787962914,0.689065635,65.51707458,0.565536737,-0.09175127,0.973686337,0.596489191,0.34447822,0.093852684,0.352862179,0.049760837,2.333918571,0.475420594,0.282,0.290928571,0.432899684
Romania,2012,,5.166874886,9.814229965,0.740043104,66.36763763,0.644536138,-0.117041543,0.959486127,0.555993974,0.342614621,0.236376286,0.200435579,0.005359806,2.449491739,0.474076062,0.273,0.290928571,0.425769269
