ISO_code,country,year,HFI 2018,GDP-PPP-PC 2018,POP 2018,GDP-GROWTH,GDP-GROWTH-2008,DI
BRN,Brunei Darussalam,2018,6.01,60389.18,428960,0.052237791,-1.939714638,n
BGR,Bulgaria,2008,7.89,17717.12,7025037,,,7.03
BGR,Bulgaria,2010,7.94,17440.67188,7025037,,,7.03
BGR,Bulgaria,2012,7.82,18134.96084,7025037,,,7.03
BGR,Bulgaria,2014,7.86,18747.37005,7025037,,,7.03
BGR,Bulgaria,2016,7.83,20513.10095,7025037,,,7.03
BGR,Bulgaria,2018,7.93,22208.45,7025037,3.092447654,6.085627607,7.03
BFA,Burkina Faso,2008,6.89,1632.95,19751466,,,4.75
BFA,Burkina Faso,2010,6.55,1716.358323,19751466,,,4.75
BFA,Burkina Faso,2012,6.47,1834.543308,19751466,,,4.75
BFA,Burkina Faso,2014,6.75,1907.949213,19751466,,,4.75
BFA,Burkina Faso,2016,6.7,1981.429814,19751466,,,4.75
BFA,Burkina Faso,2018,6.6,2120.33,19751466,6.731235608,5.799991741,4.75
BDI,Burundi,2008,5.65,827.79,11175379,,,2.33
BDI,Burundi,2010,5.58,846.1691368,11175379,,,2.33
BDI,Burundi,2012,5.6,862.715713,11175379,,,2.33
BDI,Burundi,2014,6.26,886.2354167,11175379,,,2.33
BDI,Burundi,2016,5.35,794.6042714,11175379,,,2.33
BDI,Burundi,2018,5.42,761.52,11175379,1.609933082,4.861712995,2.33
KHM,Cambodia,2008,N,2640.63,16249795,,,3.59
KHM,Cambodia,2010,7.21,2716.699738,16249795,,,3.59
KHM,Cambodia,2012,6.98,3022.596725,16249795,,,3.59
KHM,Cambodia,2014,7.08,3364.278069,16249795,,,3.59
KHM,Cambodia,2016,7.07,3733.524626,16249795,,,3.59
KHM,Cambodia,2018,6.83,4159.34,16249795,7.469169207,6.691577475,3.59
CMR,Cameroon,2008,5.68,3084.99,25216261,,,3.28
CMR,Cameroon,2010,5.92,3086.221474,25216261,,,3.28
CMR,Cameroon,2012,6.16,3180.772335,25216261,,,3.28
CMR,Cameroon,2014,6.13,3362.664809,25216261,,,3.28
CMR,Cameroon,2016,5.63,3524.443041,25216261,,,3.28
